Description,Category
SODEXO CARD RELOAD 8132,Food
BATA INDIA SHOES,Shopping
INDEPENDENT TV LTD BLR,Bills
NEXA SHOWROOM DOWNPMT,Other
BIGBASKET WALLET ADD,Groceries
ZOMATO SETTLEMENT DELHI,Food
DMART THANE 13821,Groceries
HERO BIKE EMI 30982,Bills
NESCAFE EXPRESS DELHI,Food
GOOGLE STORAGE FEE,Entertainment
SWIGGY CASHBACK 8390,Food
SUBWAY LUNCH 88921,Food
UPI/YESBANK/SHWETA21@upi,Other
UNICHEM PHARMACY 19283,Health
SPAR DELHI RETAIL,Groceries
BLUEDART COURIER CHN,Other
DR REDDY LABS 4491,Health
ZEE5 SUBSCRIBE IN,Entertainment
PANTALOONS CHN,Shopping
AJIO ONLINE ORDER 33932,Shopping
APOLLO CLINIC SRT 25492,Health
OLACABS KOCHI 28901,Transport
BILLDESK/HPGAS/98900,Bills
MEDICOVER HOSPITAL 5451,Health
BOOKMYSHOW MOVIE #92813,Entertainment
STAR MARKET BLR 79381,Groceries
PAYTM FUEL WALLET 28391,Transport
GROUPMED HOSPITAL 84481,Health
MC DONALDS INF CENTER 54302,Food
BHARAT GAS BILL 50820,Bills
TANISHQ JEWELLERS IND,Shopping
BIG BAZAAR RETAILS NGP 8219,Groceries
EXIDE INSURANCE RENEWBILL,Bills
URBAN LADDER ONLINE 9453,Shopping
XBOX GAMEPASS IND,Entertainment
KANGAROO KIDS FEES PAY,Bills
RESTAURANT TERRA MUMBAI,Food
SAMSUNG SERVICE BILL 48104,Bills
IRCTC BOOKING #889933,Transport
HONEST SNACKS RESTO,Food
RELIANCE DIGITAL KANPUR,Shopping
NETFLIX COMBILLING,Entertainment
PEPPERFRY SHOP,Shopping
VODAFONE POSTPAID UPI,Bills
BLINKIT ONLINE 93421,Groceries
HAIKU GROCERY 72912,Groceries
ICICI HOUSING EMI 23791,Bills
URBANCLAP CLEANERS 7712,Other
ZEEL OTT SUBSCRIPTION,Entertainment
ROHIT MEDICALS LKO,Health
SODEXO MEAL RECHARGE 48498,Food
BLINKIT NCR 87939,Groceries
DOMINOS PIZZA 10692,Food
MTR FOODS KITCHEN,Groceries
CRED APP PAYMENT DELHI,Bills
SWIGGY ORDER F-333101,Food
STORE99 BLR 29893,Shopping
MMT FLIGHTBOOK BOM-CCU,Transport
DELHI AIRPORT METRO CARD,Transport
LIC ONLINE PREMIUM,Bills
AMAZON UPI TRANSFER 29298,Other
URBANPLATTER GROCERY SRT,Groceries
BIGBASKET HYD 7779,Groceries
FRESH MENU NCR 8193,Food
ICICI BANK CREDITCARD PAYMENT,Other
PAYTM MALL EXPRESS 9921,Shopping
DIGITAL OCEAN INVOICE,Other
NATURES BASKET SHOP 48722,Groceries
BESCOM BILL ONLINE 82812,Bills
CLUB MAHINDRA BLUEMEM,Entertainment
BAGZONE LUGGAGE DL,Shopping
VIACOM18 OTT RENEW,Entertainment
RELIANCE SMART MKT BHOPAL,Groceries
GROFERS KOLKATA 17833,Groceries
PVR CINEMAS PUNE 89212,Entertainment
APOLLO HOSPITALS MUM,Health
STAR MARKET PUNE 98228,Groceries
VODAFONE IDEA UPI/BILL,Bills
IRCTC WALLET ADD 19231,Transport
FLIPKART GROCERY 29421,Groceries
BHIM UPI 8997462432@upi,Other
CAFENON COFFEE,Food
SPAR HYPERMARKET NCR,Groceries
FAASOS CHN 84911,Food
DISNEY HOTSTAR PLAN 33912,Entertainment
TITAN WATCHES NASHIK 90213,Shopping
SBI CARD PAYMENT 98492,Bills
SWIGGY FRIDAYMEAL 41903,Food
FOODPANDA KOL 20299,Food
ICICI BK CHARGE 12903,Other
RELIANCE FRESH JPR 18414,Groceries
STARQUICK FAST DELIVERY,Groceries
YES BANK CARD PAY,Bills
PANTALOONS MALL 214,Shopping
ZOMATO REVENUE NCR 98494,Food
UBER INDIA 78129,Transport
DR BATRA'S CARE 9831,Health
CHAI POINT BANGALORE,Food
RECHARGE IT NOW 44812,Bills
MARUTI SUZUKI PAYMENT,Other
SPOTIFY PREMIUM IN INDIA,Entertainment
CROMA RETAIL ONLINE 5410,Shopping
AIR INDIA BOOKING 82112,Transport
HDFC CREDIT CARD BILL,Other
IRCTC BOOKINGS 595874,Transport
VODAFONE BILL POSTPAID 52919,Other
FLIPKART INVOICE 9192,Shopping
BESCOM RECHARGE 45812,Bills
ZOMATO ORDER K82713,Food
DOMINOS ASHOKNAGAR 55103,Food
PHARMACY ONLINE APOLLO 12892,Health
MYNTRA APP SHP 8184,Shopping
HP PETROL PUMP IND 746329,Transport
WOW MOMO RANCHI,Food
NEOSTORE INDIA,Shopping
APOLLO HOSP NURSE PAY,Health
BMTC BUS TICKET 9931,Transport
FLIPKART FULFILMENT NCR,Shopping
BLINKIT BANGALORE 12592,Groceries
SBICARD BILL PAY,Bills
BBDAILY DELIVERY 88317,Groceries
RELIANCE MEDICAL,Health
FAASOS GURGAON 44512,Food
YOUTUBE MUSIC IND SUB,Entertainment
DUNZO NCR LOGISTICS,Other
OBEROI BAKERY SNACKS,Food
BIG BAZAAR JSR 32921,Groceries
GROFERS HYD 62318,Groceries
HP GAS BILLDESK HYD 96329,Other
UBER CAB NCR 21922,Transport
MYNTRA FLASH SALE 5012,Shopping
KFC HELPLINE DEL,Food
SWIGGY SUNDAY BRUNCH 89231,Food
BESCOM POWER BILL MYS,Bills
ZARA INDIA SHOP 8832,Shopping
PUMA STORE NCR 57298,Shopping
KIRANA LOCAL SHOP 9192,Groceries
LENSKART STORE NCR 12398,Health
RELIANCE DIGITAL JAIPUR,Shopping
BOOKMYSHOW SHOW NCR,Entertainment
PVR MOVIE TICKETS 81321,Entertainment
AMAZON.IN DIGITAL 9883,Shopping
BIGBASKET NCR 7333,Groceries
IRCTC TICKET 57121,Transport
7HEAVEN BAKERY NCR,Food
WELLNESS MEDSTORE,Health
BESCOM BILL PAYMENT NCR,Bills
VI IDEA BILL MUMBAI,Bills
FLIPKART SALE 9213,Shopping
GROCERY BASKET KOL 23893,Groceries
RECHARGE.COM BILLDESK 3922,Bills
JIO DATA RECHARGE 9023,Bills
BHARAT GAS UPAX 41110,Bills
STAR BAZAAR BANGALORE 98123,Groceries
DECATHLON INDIA SHOP,Shopping
DELHIVERY EXPRESS NCR,Other
UBER AUTORICKSHAW 62819,Transport
METRO STAR MART GURGAON,Groceries
DOMINOS ONLINE PAYMENT NCR,Food
STARBUCKS CAFE NCR,Food
IRCTC TRAINBOOK 987412,Transport
NUTRITIONZONE MUM 98312,Health
CRED PAYMENT NCR,Other
HP PETROL PUMP NCR,Transport
FLIPKART PREPAID DEAL 92813,Shopping
BASKIN ROBBINS BLR 48319,Food
DR LAL PATHOLOGY LAB,Health
DUNZO STORE 13924 NCR,Other
BBAZAAR NCR 64813,Groceries
BIGBASKET SAVERS 38931,Groceries
UPI/4382182191@icici,Other
TATANEU ORDER JPR 9982,Groceries
FOODPANDA ORDER NCR 31938,Food
ICICI BILL PAYMENT NCR,Other
DR PATHOLOGY SERVICE,Health
ZOMATO TEAM DINNER,Food
DUNZO FRESH DELIVERY,Other
PHARMACY ZONE NCR 19128,Health
SPAR STORE NCR 54319,Groceries
PVR CINEMAS DELHI NCR,Entertainment
IRCTC-BOOKING/953214,Transport
AJIO GRAND SALE 12874,Shopping
LIC ONLINE PAYMENT 98483,Bills
7ELEVEN SUPERMARKET 91821,Groceries
CHOCOBERRY BAKERY 18392,Food
RELIANCE SMART SHOP NCR,Groceries
OLA MINI CAB RIDE 80893,Transport
UBER AUTO NCR 17521,Transport
UPI/858218843@hdfc,Other
SWIGGY ORDER 841120,Food
BIGBASKET BLR 9112,Groceries
FRESH TO HOME NCR 98239,Groceries
JIO RECHARGE ONLINE NCR,Bills
SHOPCLUES ONLINE MQ 972,Shopping
STAR MART NCR 3193,Groceries
FLIPKART MOBILE BLR,Shopping
RELIANCE DIGITAL 59105,Shopping
GODREJ NATURE BASKET HYD,Groceries
BESCOM ONLINE BILL 52198,Bills
PVR CINEMAS 87419,Entertainment
OLIVE BAR AND KITCHEN,Food
UPI/ICICI/94441@nupay,Other
DUNZO BLR 8301,Other
INDIGO AIR BOOK DELHI,Transport
KALYAN JEWELLERS NCR,Shopping
PVR MOVIE NCR 18213,Entertainment
SWIGGY LUNCH 99001,Food
MUMBAI METRODAY 79213,Transport
THEOBROMA BLR 38491,Food
YOUTUBE PREMIUM 32849,Entertainment
FASTAG HDFC RECHARGE,Bills
BIGBASKET ONLINE NCR 12139,Groceries
KIRANA XPRESS SURAT 29984,Groceries
APOLLO PHARMACY 36321,Health
MUMBAI CENTRAL RAIL TKT,Transport
